,id,source,destination,surge_multiplier,price,cab_type,datetime,short_summary,distance
444784,5c22b791-ec05-406f-9f4b-30ff21af86a5,Back Bay,North End,1.0,3.0,Lyft,2018-12-14 04:05:05, Overcast ,3.0
389138,efa028fb-75a8-41c4-be09-6a7ee8b881ea,West End,Haymarket Square,1.0,15.5,Uber,2018-12-18 07:05:11, Overcast ,0.72
612106,68e46fe1-1f63-440f-8532-929e745b73a8,North Station,Boston University,1.0,9.0,Lyft,2018-12-02 10:28:00, Light Rain ,3.11
560868,39657de5-2dda-44f2-9738-54f4242b3e83,Boston University,Financial District,1.0,21.5,Uber,2018-12-02 04:58:00, Mostly Cloudy ,4.72
653117,59b389a1-4ffa-49e7-8acc-3cc11fccff5e,West End,South Station,1.0,7.5,Uber,2018-11-28 14:41:24, Partly Cloudy ,2.14
483440,1eb78003-c4da-40d7-b36e-84de76fa7245,South Station,Financial District,1.0,27.5,Lyft,2018-12-02 22:23:02, Overcast ,0.59
441334,e1cec987-71ca-481a-99c4-2d0017b47de4,Back Bay,Fenway,1.0,11.0,Uber,2018-12-14 19:25:05, Partly Cloudy ,1.34
46548,319881cd-f945-4360-9130-a58d1dfd5310,Financial District,Northeastern University,1.0,13.5,Lyft,2018-12-03 09:53:04, Overcast ,3.28
429765,5eaff5d2-746d-4e25-bea8-04e4f196f9ee,Northeastern University,North Station,1.0,32.0,Uber,2018-12-01 05:57:56, Mostly Cloudy ,3.01
188624,8d5c6d05-3d84-4fb4-9abe-d57874b10859,Fenway,Financial District,1.0,27.5,Lyft,2018-12-15 12:45:04, Overcast ,4.43
620730,94c8475f-ce73-4112-a5de-387e252ad963,Northeastern University,Beacon Hill,1.0,10.5,Uber,2018-12-18 18:35:08, Clear ,2.61
317157,335db265-3496-495d-bc6d-a146bc6d37b6,North End,North Station,1.0,7.0,Lyft,2018-11-28 17:17:07, Overcast ,1.0
494124,3c661ed6-7881-4f9a-aa94-32e52bff0974,South Station,Beacon Hill,1.0,7.0,Lyft,2018-12-02 09:42:57, Light Rain ,2.46
73756,909ec523-17c4-4d6c-90c1-0cbe867388ac,Theatre District,Boston University,1.0,16.5,Lyft,2018-11-28 09:44:08, Partly Cloudy ,3.15
109246,152fb0bf-4fbd-4179-a533-af2aabc08e89,Fenway,Beacon Hill,1.0,10.5,Lyft,2018-12-15 10:25:08, Overcast ,2.38
383202,c9ce80b6-0001-4f29-b4ba-58775118dcfb,West End,North End,1.0,5.0,Lyft,2018-11-29 04:54:54, Mostly Cloudy ,0.99
24509,fdf26073-4c71-43b1-874f-c7974aa5e455,Haymarket Square,West End,1.0,10.5,Lyft,2018-11-27 07:24:21, Light Rain ,0.65
418931,3a6543d0-dd93-4573-93d5-e774713431b0,North Station,Fenway,1.0,19.5,Lyft,2018-11-28 15:26:08, Mostly Cloudy ,3.14
621340,fb88586d-c614-4e37-86cd-066220c0eb6d,Financial District,Northeastern University,1.0,30.0,Lyft,2018-12-02 19:17:56, Light Rain ,3.19
268,8bc00ba0-9ccc-4038-aa80-14ec69433988,South Station,Theatre District,1.25,9.0,Lyft,2018-12-13 12:00:03, Partly Cloudy ,1.08
349929,191bacf5-afd3-4a8a-b7c2-db667295ae7c,Theatre District,Boston University,1.0,13.5,Lyft,2018-11-27 22:24:24, Partly Cloudy ,4.77
5308,67fe9032-1ca3-4007-96e8-ba71eb6001cf,Boston University,Financial District,1.0,41.5,Uber,2018-12-03 16:18:02, Partly Cloudy ,4.72
609994,8b733233-a8a4-4cdd-b849-682b6402af72,North End,Back Bay,1.0,20.5,Uber,2018-12-15 10:05:04, Overcast ,3.61
455477,8800e542-1dfd-438f-beac-32f0ce8a32d2,Financial District,Northeastern University,1.0,39.0,Uber,2018-12-14 04:00:12, Overcast ,7.46
534547,17af5ac8-6b81-4dde-a72e-4f4100e66ccc,Financial District,Northeastern University,1.0,19.0,Uber,2018-11-28 16:08:08, Mostly Cloudy ,7.46
586143,b54868a8-c853-4151-b168-e8c97780d7eb,North End,North Station,1.0,12.5,Uber,2018-11-29 19:28:02, Mostly Cloudy ,1.03
203058,432357f6-6df1-45ec-b1ba-9ed160d8abcb,North End,Beacon Hill,1.0,14.0,Uber,2018-11-28 20:11:08, Overcast ,1.9
296593,569c1db6-f47d-4ed8-ae92-7a4d6b4cf7dd,Haymarket Square,Theatre District,1.0,11.0,Lyft,2018-12-16 18:35:07, Overcast ,1.23
416674,b933ce82-bfc7-44e5-ae1f-c10562bde30e,South Station,Back Bay,1.0,16.5,Lyft,2018-11-29 08:13:01, Mostly Cloudy ,2.16
284304,9d548399-988e-4e21-84d3-0f02166bbeeb,Beacon Hill,Boston University,1.0,9.5,Uber,2018-11-27 19:51:22, Mostly Cloudy ,2.27
149937,5ee0c67d-b2c7-4f73-971d-4bd14cebdf8a,South Station,North Station,1.0,27.5,Uber,2018-12-14 03:20:05, Overcast ,1.75
385994,8c22fa48-1715-44f5-ae92-013d092164ae,Northeastern University,West End,1.0,34.0,Lyft,2018-12-02 13:58:02, Light Rain ,2.74
394272,d7689afd-8fb5-4238-a311-d564fdc2cc74,Theatre District,Haymarket Square,1.0,28.5,Uber,2018-12-17 00:00:10, Rain ,1.61
484051,12f628ef-7374-423e-b983-9597bab4f4af,Haymarket Square,Back Bay,1.0,32.5,Lyft,2018-12-17 05:45:10, Drizzle ,1.96
363863,4c2e0d3c-a65f-4351-b9ce-5cbeb95414ff,North End,West End,1.0,5.0,Lyft,2018-11-28 13:26:24, Partly Cloudy ,1.34
116146,5d50f9a9-ad97-496f-a5de-a2d0edbaf21d,Boston University,North Station,1.0,11.5,Uber,2018-12-13 23:10:15, Overcast ,3.39
624926,92c0c254-a2b9-478c-aa10-3184ae5b0aba,North Station,Fenway,1.0,16.5,Lyft,2018-11-27 19:36:22, Mostly Cloudy ,3.17
48420,0cc41b20-e416-4464-9e1a-31f3fc0e1b00,Haymarket Square,Back Bay,1.0,15.0,Uber,2018-11-30 21:28:05, Overcast ,1.79
93698,3e3c113d-93e9-4169-aea2-1bb57104d76e,Back Bay,North End,1.0,33.0,Uber,2018-11-26 22:54:10, Possible Drizzle ,3.16
482325,b24737e8-3254-41ba-aab6-f874614ba1e2,Boston University,Back Bay,1.0,7.5,Uber,2018-12-01 18:47:57, Partly Cloudy ,1.56
309267,07235a52-0b98-43ea-acca-30b6d5b98ba2,Fenway,Back Bay,1.0,13.5,Uber,2018-11-27 17:03:23, Overcast ,1.57
594218,8404843f-2623-4e88-9466-a49fd8da253b,Financial District,Boston University,1.0,22.5,Lyft,2018-11-27 13:39:21, Possible Drizzle ,5.42
447474,df4f0dbe-0d7f-41b0-941a-de3d20e51a36,Haymarket Square,Financial District,1.0,7.5,Uber,2018-12-13 21:10:11, Mostly Cloudy ,1.0
75344,8423ac2f-4599-42ef-93e7-8d1fef771d92,Fenway,North Station,1.0,27.5,Lyft,2018-12-14 00:40:12, Overcast ,3.21
519022,ca85268e-8222-4fb5-ae19-db6646d4adb6,Back Bay,Boston University,1.0,5.5,Uber,2018-11-28 10:51:23, Partly Cloudy ,0.03
226126,d4c1ea28-56e2-4c51-b18c-d3fc3869d7bf,South Station,West End,1.0,7.0,Lyft,2018-12-14 14:10:15, Clear ,2.03
454849,e4a67cb0-8268-4f29-af81-f84a3456441f,Theatre District,North End,1.0,27.5,Uber,2018-11-27 05:33:23, Rain ,1.57
42990,b900f099-0840-4552-94e9-1431ff7315c9,South Station,Back Bay,1.0,35.0,Uber,2018-11-28 13:44:09, Partly Cloudy ,3.44
400529,2a472c98-d382-4b74-affe-e1ecfddfd053,South Station,Beacon Hill,1.0,9.0,Lyft,2018-12-16 19:15:03, Overcast ,2.51
548384,0c428b6f-6af0-4c56-b176-898bad79fb1f,Beacon Hill,North End,1.0,18.0,Uber,2018-11-29 04:46:23, Mostly Cloudy ,2.19
199843,73de6728-0e5d-4dce-ab76-4f883859051e,West End,Northeastern University,1.0,19.5,Lyft,2018-11-27 01:39:23, Rain ,3.06
460186,0c6711e3-6e05-4c55-af69-d9869172147c,Beacon Hill,South Station,1.0,16.5,Lyft,2018-12-17 09:15:10, Drizzle ,2.47
112458,2334234e-efb0-4f38-9cfa-a468c45bc5f7,South Station,Theatre District,1.0,7.0,Lyft,2018-12-15 01:50:11, Overcast ,1.2
82864,bc2f3971-71ca-4006-8b26-edba8d7e5f5e,North End,Beacon Hill,1.0,11.5,Uber,2018-12-17 10:55:12, Possible Drizzle ,1.46
571057,5fdc9161-3243-4496-9543-eaef804c1919,Fenway,Back Bay,1.0,7.0,Lyft,2018-12-15 20:55:12, Clear ,1.49
10013,8c8470c3-a212-4c95-b61d-a82c7d0715c8,Haymarket Square,North Station,1.0,10.5,Uber,2018-12-17 13:00:14, Overcast ,0.49
604616,6246ba8b-11b4-46da-912c-53a089dbfd92,Theatre District,Boston University,1.0,22.5,Lyft,2018-12-17 21:30:12, Mostly Cloudy ,4.68
371368,2f9aeffd-79e9-4b36-86b6-9ea1cdca8dba,Theatre District,Northeastern University,1.0,32.5,Lyft,2018-12-14 15:05:08, Clear ,2.16
244686,fd7d3b77-78e3-4591-8480-ea131af684d2,Northeastern University,Financial District,1.0,13.5,Lyft,2018-11-28 15:47:08, Mostly Cloudy ,4.23
157908,a6bafadd-59bb-4103-8a80-1e8c0909cc1e,Beacon Hill,Haymarket Square,1.25,13.5,Lyft,2018-11-30 03:22:57, Clear ,1.38
435568,54854c5f-9067-44f7-9e7e-b93d2c636373,North End,Theatre District,1.0,30.0,Lyft,2018-12-04 04:13:02, Mostly Cloudy ,1.8
485752,4e285c5a-9b2f-44ad-a4b7-cca5e1c8b49f,South Station,Beacon Hill,1.0,16.5,Lyft,2018-12-13 18:25:11, Mostly Cloudy ,2.47
23592,6e1839ea-4448-46a4-a876-6c6ab74da9a1,Beacon Hill,Haymarket Square,1.0,9.5,Uber,2018-11-29 01:08:41, Mostly Cloudy ,1.23
585575,47fd1c5f-30d1-4964-95e3-096fa2620d3c,South Station,North Station,1.0,16.5,Lyft,2018-12-04 02:37:58, Partly Cloudy ,1.79
52069,4a87a7fb-e6d8-45ca-b965-a8f084d28546,South Station,North Station,1.0,16.5,Lyft,2018-12-16 14:00:13, Overcast ,1.74
506420,832058a6-4ce8-444e-a68c-60c46e6580f0,Theatre District,Fenway,1.0,7.0,Lyft,2018-11-27 13:42:23, Possible Drizzle ,3.11
408896,b883b43f-19b2-46f2-9cb4-ec0f0e12e751,North End,Back Bay,1.0,13.0,Uber,2018-11-27 06:24:23, Light Rain ,2.38
643705,313f21b7-664d-4dfd-aa58-afde6d508062,Financial District,North End,1.0,11.0,Lyft,2018-11-26 23:33:14, Light Rain ,1.01
482552,b1f23743-929f-4016-8284-6f26a4e30f28,Back Bay,Fenway,2.0,32.5,Lyft,2018-12-15 15:25:12, Mostly Cloudy ,1.43
673129,b49eb689-a53e-4441-851b-267d260412a5,Boston University,Financial District,1.0,5.0,Lyft,2018-12-02 16:33:01, Light Rain ,4.58
269559,3af671dd-7703-4dd9-afab-732dd287b840,North Station,Haymarket Square,1.0,7.0,Uber,2018-11-29 17:23:04, Partly Cloudy ,0.56
340553,38e5e21e-7794-430f-83b1-20b9e59d4077,Back Bay,North End,1.0,25.0,Uber,2018-12-02 18:48:00, Light Rain ,3.16
116895,8f732286-0a95-44d3-915b-a65552c850a6,South Station,North Station,1.0,5.0,Lyft,2018-12-13 04:00:05, Clear ,1.68
384929,948d4e7d-40de-409d-a5ea-f0edc4a154bf,Haymarket Square,Beacon Hill,1.0,3.0,Lyft,2018-12-01 23:53:00, Partly Cloudy ,1.29
230515,a7525ee7-664f-4c19-aa78-1bc85ccf0e3e,Boston University,Beacon Hill,1.0,26.0,Lyft,2018-12-13 19:40:13, Mostly Cloudy ,2.64
163345,bd741cdf-85a3-4c77-b291-e1b07107dbe5,South Station,Financial District,1.0,15.0,Uber,2018-12-17 12:50:03, Overcast ,0.63
271010,8b891b78-8d96-402c-8b1c-746d36ea0703,Financial District,Northeastern University,1.0,38.0,Lyft,2018-12-14 11:10:07, Partly Cloudy ,3.35
283531,0e87896d-0b92-4c58-bea5-bf2e1ba79776,North Station,Northeastern University,1.0,19.5,Lyft,2018-11-30 04:53:00, Clear ,3.26
175065,f14cb14b-2841-491d-a7f5-00a0a0e06774,Boston University,Back Bay,1.0,8.0,Uber,2018-12-01 19:03:04, Partly Cloudy ,1.56
560060,06f1656e-75c3-465c-aa09-5c99b647d70b,Back Bay,Northeastern University,1.0,13.5,Lyft,2018-12-16 06:00:05, Clear ,1.08
687225,43145431-46ab-46a3-9727-795e26775287,Northeastern University,West End,1.0,9.5,Uber,2018-12-01 09:42:57, Mostly Cloudy ,2.86
589580,1bcdca27-fb2f-4b47-825e-509ff70e520e,Haymarket Square,Beacon Hill,1.0,5.0,Lyft,2018-12-16 10:25:09, Overcast ,1.02
380891,3121d290-8d21-4bd9-b0e7-f4023dc7fbcf,Haymarket Square,Beacon Hill,1.0,27.5,Uber,2018-12-01 04:12:57, Mostly Cloudy ,0.91
28214,7601bed8-78c8-4fda-80e7-441fccb0573f,Theatre District,Northeastern University,1.0,9.5,Uber,2018-11-28 21:56:07, Overcast ,1.8
537987,2bca67ce-091c-4003-8102-1dc0db06fea9,Haymarket Square,North Station,1.0,26.0,Lyft,2018-12-15 18:05:09, Partly Cloudy ,0.57
1591,9ab62fd2-78ce-4837-abb5-1ba487f0a317,Haymarket Square,North Station,1.0,7.0,Lyft,2018-11-28 21:05:08, Overcast ,0.53
249039,3457714f-58ff-49ef-b1d9-852021ca465a,North Station,Fenway,1.0,10.5,Uber,2018-11-26 09:32:10, Overcast ,3.05
448998,a9187711-6198-422c-9a71-3a292c151451,South Station,North Station,1.0,7.0,Lyft,2018-12-02 13:57:56, Light Rain ,2.22
337121,fea2623a-caee-466e-adf7-5038b5ddc7d8,Haymarket Square,Financial District,1.0,27.5,Lyft,2018-11-30 07:32:59, Clear ,1.05
567337,d6046c51-a05e-4ebe-8261-505f00b64b1f,Beacon Hill,Northeastern University,1.0,14.0,Uber,2018-12-04 00:17:56, Clear ,1.97
595668,1d92f249-dfd9-48de-a7cc-13a4bf251c88,Fenway,Back Bay,1.0,7.0,Lyft,2018-11-30 17:18:01, Mostly Cloudy ,1.46
143832,6f1e543c-9d0c-4ae5-a77f-8375a8fc6c99,Back Bay,Boston University,1.0,26.0,Lyft,2018-12-14 22:55:03, Mostly Cloudy ,1.47
356629,3d1f14d7-da01-4cea-a96f-92e0ea4264ee,Fenway,West End,1.0,21.5,Uber,2018-12-01 02:58:00, Overcast ,2.72
342313,944d27cc-b473-4db5-bacd-359743e946ba,North End,Financial District,1.0,13.5,Lyft,2018-12-18 02:35:05, Mostly Cloudy ,1.09
127534,66040e1a-d659-4a17-9d66-7f49770e9465,West End,South Station,1.0,22.5,Lyft,2018-11-29 04:05:08, Mostly Cloudy ,2.08
547582,c06b510c-1bd6-4f1d-9f94-86c768538cf5,South Station,Beacon Hill,1.0,15.0,Uber,2018-11-29 01:35:07, Mostly Cloudy ,2.58
391654,954d6a4c-f842-4221-8fce-61a9886109b5,Financial District,South Station,1.0,26.0,Uber,2018-12-17 04:55:03, Light Rain ,0.39
536096,34455ab6-db20-4cf6-9edb-eec40ab87465,Northeastern University,Back Bay,1.0,13.0,Uber,2018-12-15 22:25:05, Partly Cloudy ,1.49
199369,2faa2a2d-3130-44b4-a6c1-9a0cbe33f1fe,South Station,Back Bay,1.0,22.5,Lyft,2018-12-01 06:23:01, Overcast ,3.28
393374,1dc3aa4a-ca16-4c6a-bbe4-827c388c52a6,South Station,Financial District,1.0,9.0,Lyft,2018-12-16 13:25:12, Overcast ,0.62
383204,fa99a092-fb72-4d94-afc4-465625f93c53,West End,North End,1.0,9.0,Lyft,2018-12-13 22:40:10, Mostly Cloudy ,0.99
484388,bd7bf2a8-6ab1-43c6-a8af-78b8f0f8b935,Beacon Hill,South Station,1.0,7.0,Lyft,2018-12-13 08:40:09, Clear ,2.36
575109,ad3f09b6-e2fe-46e1-a067-29a651fb42e7,Beacon Hill,Haymarket Square,1.0,26.0,Lyft,2018-11-29 14:42:58, Partly Cloudy ,1.37
652535,85cfa00c-9962-48af-8360-63b340fc19f1,North Station,South Station,1.0,13.5,Lyft,2018-11-27 14:00:22, Overcast ,1.74
226458,6142cdbb-c884-4253-9c32-d1d18aaa855b,South Station,Back Bay,1.0,22.5,Lyft,2018-12-02 17:23:01, Light Rain ,2.15
281122,18a911b4-25a3-4d0d-a2f1-c822cc81ed2b,Financial District,Boston University,1.0,38.5,Lyft,2018-11-26 10:38:10, Foggy ,5.36
345620,5d80e695-6283-49d8-bf08-efe2bd3d4a0b,Boston University,Financial District,1.0,46.0,Uber,2018-11-27 12:18:22, Light Rain ,4.72
480735,1eea3663-1524-4a59-ab1e-95c79ea0e1be,Beacon Hill,Haymarket Square,1.0,7.0,Uber,2018-12-16 13:35:12, Overcast ,1.35
597864,5ac1e615-965a-4861-b10d-94be0e69e0d2,Back Bay,Fenway,1.0,40.5,Uber,2018-12-16 10:25:04, Overcast ,1.34
452457,83633085-a2ef-4e12-9baa-a2ae69d820da,Fenway,Theatre District,1.0,23.0,Uber,2018-12-15 05:15:12, Overcast ,2.66
517031,c14d3d2e-95c4-4c2d-9e8c-52953d0bc967,Northeastern University,Financial District,1.0,26.0,Lyft,2018-12-02 21:53:05, Possible Drizzle ,3.97
604853,6a3c5fb4-fcb8-4712-827d-6462eac8ddef,Financial District,North End,1.0,15.0,Uber,2018-11-27 15:51:23, Overcast ,1.21
343327,289a92e8-170d-4636-b303-d7cb9217b366,Northeastern University,Financial District,1.0,13.5,Uber,2018-12-15 15:25:14, Mostly Cloudy ,4.53
325059,dd370bab-454c-46bc-9c0b-5574d780a596,Haymarket Square,West End,1.0,9.0,Lyft,2018-11-27 01:00:22, Rain ,0.71
611596,eac847e0-a731-4ce8-95d7-49f2450e9b76,Haymarket Square,West End,1.0,16.5,Lyft,2018-12-02 15:18:00, Light Rain ,0.65
595246,49ba4c01-9504-4865-9f8f-9d3f9e29b5bc,South Station,Theatre District,1.0,27.5,Lyft,2018-12-02 16:53:00, Light Rain ,1.22
16079,f9c0a820-63c9-4e12-824e-39bb3128e85b,Haymarket Square,Financial District,1.0,13.5,Lyft,2018-11-27 10:27:21, Light Rain ,0.98
169402,3c929095-64b6-4624-972d-acf0e9657994,Financial District,North End,1.0,7.5,Uber,2018-11-26 21:20:12, Overcast ,1.23
197551,27b71116-45f3-4614-b6ce-67ec1f7e52dc,North End,Financial District,1.0,8.5,Uber,2018-11-26 10:44:09, Foggy ,1.04
279657,eb7df647-af47-4720-8179-af4be517fede,Back Bay,Northeastern University,1.0,7.5,Uber,2018-12-01 18:53:04, Partly Cloudy ,1.08
452572,6f29f536-392f-4900-a89d-3c908202ed06,Boston University,West End,1.0,19.5,Lyft,2018-11-29 11:12:57, Partly Cloudy ,3.07
403229,12b242a0-a2e2-4f70-9aea-55523c6e17e3,South Station,Back Bay,1.0,5.0,Lyft,2018-11-26 14:05:11, Possible Drizzle ,3.3
294134,4c11ced6-1808-4650-89d2-9d83fe641e80,Boston University,Theatre District,1.0,19.5,Lyft,2018-12-16 14:45:10, Overcast ,3.03
618965,728ee4ed-7bff-4f18-82ef-2c9aa37c87c3,Fenway,Financial District,1.0,9.0,Lyft,2018-12-01 23:03:02, Partly Cloudy ,4.45
614271,a0be61e1-dc1f-499c-a7f6-480631f5c35e,Theatre District,South Station,1.0,7.0,Lyft,2018-12-15 23:35:14, Partly Cloudy ,0.61
614797,a2681218-b37f-4ddf-8642-2e18e1645038,Back Bay,Haymarket Square,1.0,26.0,Lyft,2018-11-29 23:18:04, Partly Cloudy ,2.25
688532,e5aa649e-d54b-4fc0-978a-9d189babea47,Haymarket Square,West End,1.0,16.5,Lyft,2018-11-28 10:36:25, Partly Cloudy ,0.71
400904,27276441-ca04-4228-b024-a560c7107beb,Financial District,Northeastern University,1.0,19.5,Lyft,2018-12-14 18:05:14, Mostly Cloudy ,3.45
659098,970f5cdd-96f8-44a3-9a30-016d7f228733,Beacon Hill,Boston University,1.0,10.5,Uber,2018-12-13 17:50:06, Mostly Cloudy ,2.27
522594,4cc70bbb-5074-445d-95a1-51b3d7b9eeac,Financial District,Fenway,1.0,13.0,Uber,2018-11-28 21:53:08, Overcast ,4.48
591362,622876c7-6676-4e04-9cd0-f82226abecd0,Theatre District,Northeastern University,1.0,22.5,Lyft,2018-12-14 10:35:13, Partly Cloudy ,2.18
157773,91abc622-18e6-4c78-b42e-781c7e4e8e76,South Station,North Station,1.0,8.0,Uber,2018-12-17 22:25:11, Overcast ,1.5
601842,827f5243-68f9-4de6-a7c4-9c2cfa2ed9fa,Boston University,North Station,1.0,9.0,Uber,2018-12-18 16:40:10, Partly Cloudy ,3.39
489223,9312fbc9-b868-48d7-8835-ca8e0b3d0b31,Boston University,Back Bay,1.0,10.5,Lyft,2018-12-17 19:35:05, Overcast ,1.49
355800,cc0d6a47-b10a-41eb-b086-fb937728ef0e,Beacon Hill,Fenway,1.0,10.0,Uber,2018-11-26 18:08:11, Overcast ,2.32
304126,d7306b1b-3e57-4d8f-9a18-67ea24175c12,Boston University,West End,1.0,16.5,Lyft,2018-11-29 17:33:02, Partly Cloudy ,3.07
555235,c21ebd13-876a-4337-9d4c-8cdeef133834,West End,Fenway,1.0,16.0,Uber,2018-12-15 06:00:06, Overcast ,2.84
369699,0f2d41b4-9fe9-44cb-b9f6-3d27412564c1,West End,Fenway,1.0,25.0,Uber,2018-11-30 10:23:01, Clear ,2.84
297742,79672c6c-4ee7-42ac-bc64-59a38696fcbc,North End,Back Bay,1.0,38.0,Lyft,2018-11-27 12:06:22, Light Rain ,2.9
365626,449e589a-1b40-45ae-8704-3a34c2c78edc,Boston University,Back Bay,1.0,13.5,Lyft,2018-11-26 15:44:09, Drizzle ,1.57
140731,f3ce0f57-dbee-4266-8520-34aea4bc130f,Theatre District,Boston University,1.0,17.5,Uber,2018-11-29 11:23:02, Partly Cloudy ,2.62
268610,ee3eadfd-e8c5-493b-9a62-4e312e89fe11,North End,North Station,1.0,26.0,Uber,2018-11-29 11:03:00, Partly Cloudy ,1.03
526692,eb707c0f-6198-47c8-89d9-50174d759a0b,North End,West End,1.0,11.0,Lyft,2018-11-27 09:09:22, Light Rain ,1.16
334946,562ff265-5014-41ed-817c-495c60128fc2,Beacon Hill,Northeastern University,1.0,13.5,Lyft,2018-12-16 05:30:03, Clear ,2.08
692712,e1793e67-fb6f-4d10-9996-cd97a00c0537,Boston University,Back Bay,1.0,8.0,Uber,2018-11-28 21:38:08, Overcast ,1.56
561898,4c1373aa-e5c8-4b9a-bea0-4c51f16fd832,Fenway,West End,1.0,19.5,Uber,2018-12-13 11:25:09, Partly Cloudy ,2.72
489052,8e532b02-d2aa-4474-812e-018d1faa0749,Beacon Hill,Northeastern University,1.0,9.5,Uber,2018-12-14 19:15:08, Partly Cloudy ,1.97
461377,e4403c09-f99e-48c1-b84a-a64684cd2c4b,South Station,Financial District,1.25,19.5,Lyft,2018-12-14 12:10:06, Partly Cloudy ,0.61
528932,229ca709-7f1f-4479-935a-2aa63a1a6ace,Fenway,North Station,1.0,10.5,Uber,2018-12-15 23:15:07, Partly Cloudy ,2.65
232368,a646205c-a4ad-4a77-82aa-a6afe91966b6,Boston University,Beacon Hill,1.0,30.5,Uber,2018-11-26 21:53:09, Overcast ,2.79
448877,9f469047-aee4-47fc-a758-841cb763e307,Boston University,Theatre District,1.0,7.0,Lyft,2018-11-30 19:53:05, Overcast ,2.98
106125,5eb9f2c5-2bb3-441f-b0ee-654af93bae8d,Boston University,North Station,1.0,22.5,Lyft,2018-11-26 12:14:10, Overcast ,3.44
176549,e51baa8c-d82a-4668-98a1-35b40dc679ae,Back Bay,North End,1.0,38.5,Lyft,2018-12-14 12:10:05, Partly Cloudy ,3.0
106902,3b21924f-2f2e-4d03-8560-e6667b483b92,Financial District,North End,1.75,47.5,Lyft,2018-11-27 22:03:23, Partly Cloudy ,1.26
337847,6c9f0328-4d68-4454-8eb8-398fb33f8e15,North End,West End,1.0,5.5,Uber,2018-12-15 12:15:10, Overcast ,1.16
533753,9960f219-1825-4831-b82e-f6c2a3a0df6c,North Station,North End,1.0,10.5,Lyft,2018-12-01 07:23:02, Overcast ,1.0
296458,ab97a941-774d-4fe0-9fec-4cd5f6895a58,Northeastern University,West End,1.0,33.0,Uber,2018-11-29 13:03:00, Clear ,2.86
673721,a71ba387-4d93-44e1-9264-25599558bb29,Financial District,Haymarket Square,1.0,16.0,Uber,2018-11-29 08:32:57, Mostly Cloudy ,1.25
384707,5e550fab-7306-4258-92a4-497ee47d30a1,Northeastern University,Financial District,1.0,29.5,Uber,2018-12-10 00:53:28, Clear ,4.55
573354,8ac3d3a7-863c-48fd-95fd-567bdf31a537,North Station,Northeastern University,1.0,16.5,Lyft,2018-11-30 01:08:01, Clear ,3.3
658433,c65bbc8a-d1e3-4c44-8d4c-a23a4912ea45,Back Bay,Boston University,1.0,26.5,Uber,2018-12-15 12:20:09, Overcast ,1.44
584558,cdc74462-6069-45b8-bf34-13d1b61dd231,West End,Fenway,1.0,17.0,Uber,2018-11-26 21:44:10, Overcast ,2.9
283323,cb0c4aca-9bd5-4b9c-b41e-ab0133e9c45a,South Station,North Station,1.0,19.0,Uber,2018-11-26 13:56:09, Overcast ,2.38
258232,27e40340-d21d-4373-ac3b-6f6a8ffffb06,South Station,Theatre District,1.0,16.5,Lyft,2018-11-26 23:33:14, Light Rain ,1.2
129683,f00e22ba-9424-479a-a74b-464837a20cee,Fenway,Beacon Hill,1.0,10.5,Lyft,2018-12-14 01:55:14, Overcast ,2.4
524239,4ca5ab85-be00-42bb-9061-033e7dd9bb80,Boston University,North Station,1.0,16.5,Lyft,2018-11-27 19:51:23, Mostly Cloudy ,3.53
359290,1ec2724b-98f2-41c2-b860-eef5caad2109,Fenway,Financial District,1.0,29.0,Uber,2018-11-27 23:36:23, Partly Cloudy ,4.4
212805,017731d6-3779-411b-9b5d-b04ea5ac979c,North End,Financial District,1.0,10.5,Lyft,2018-12-17 21:00:13, Mostly Cloudy ,1.13
308639,46e606a9-6bdd-41f0-8bef-aa6b7cedbe32,Back Bay,South Station,1.0,13.5,Lyft,2018-12-01 20:33:02, Mostly Cloudy ,1.48
169332,54539eae-6b57-4315-8540-9f8d550135b2,Haymarket Square,North Station,1.0,16.5,Lyft,2018-12-13 08:40:08, Clear ,0.56
417098,78722633-297b-4567-a86b-cb5225697c65,West End,Fenway,1.0,29.5,Uber,2018-11-29 03:47:08, Partly Cloudy ,2.84
444638,29ba1c59-191d-4fc3-8947-2bbbf4d73daf,North End,Financial District,1.0,9.0,Uber,2018-11-28 20:32:08, Overcast ,1.64
1756,d9b9ffc1-bd95-4aa3-a5c3-0077836ce004,Financial District,South Station,1.0,3.0,Lyft,2018-11-27 10:48:23, Light Rain ,0.46
463769,54822d24-c68f-41a2-855e-5a707d0889de,Theatre District,South Station,1.0,11.0,Lyft,2018-12-13 14:15:05, Partly Cloudy ,0.75
257299,ba90fad7-e103-41ad-b1de-937740ca27ef,Northeastern University,Financial District,1.0,36.0,Uber,2018-12-01 02:52:57, Overcast ,4.55
414907,49615aae-e022-49e5-b955-e8fc5d9510aa,North Station,Boston University,1.0,9.5,Uber,2018-12-17 21:05:13, Mostly Cloudy ,3.01
601552,3e4ad8f4-f019-4c11-823f-ba444f4ae2e1,Back Bay,North End,1.0,9.5,Uber,2018-11-29 04:39:21, Mostly Cloudy ,2.33
44661,b4fc5928-80f2-4805-b808-25ec78f094bd,Theatre District,North End,1.0,13.5,Lyft,2018-12-16 15:10:03, Overcast ,1.72
